year,survival,lookback
1981,0.445957838408411,1
1982,0.538282327622085,1
1983,0.419393741715025,1
1984,0.63677789953435,1
1985,0.387521961444447,1
1986,0.48225103404342,1
1987,0.560499121974644,1
1988,0.596330139047526,1
1989,0.632325711726244,1
1990,0.35535734329521,1
1991,0.646032106433767,1
1992,0.3564453467673,1
1993,0.726954061815414,1
1994,0.657459323955972,1
1995,0.624498663033385,1
1996,0.661374447224057,1
1997,0.572628047508886,1
1998,0.651825309097015,1
1999,0.709161434021334,1
2000,0.485842845432203,1
2001,0.805876989921562,1
2002,0.729173405921803,1
2003,0.673861781872637,1
2004,0.695024093944176,1
2005,0.64934609013261,1
2006,0.725064966740645,1
2007,0.636629522695747,1
2008,0.605961467154914,1
2009,0.72934924760372,1
2010,0.609571822353598,1
2011,0.647706374307722,1
2012,0.504195108251211,1
2013,0.768097203243024,1
2014,0.729410751484191,1
2015,0.55410438614823,1
2016,0.664608853346564,1
1982,0.492120083015248,2
1983,0.478838034668555,2
1984,0.528085820624687,2
1985,0.512149930489399,2
1986,0.434886497743933,2
1987,0.521375078009032,2
1988,0.578414630511085,2
1989,0.614327925386885,2
1990,0.493841527510727,2
1991,0.500694724864488,2
1992,0.501238726600533,2
1993,0.541699704291357,2
1994,0.692206692885693,2
1995,0.640978993494679,2
1996,0.642936555128721,2
1997,0.617001247366471,2
1998,0.61222667830295,2
1999,0.680493371559175,2
2000,0.597502139726769,2
2001,0.645859917676882,2
2002,0.767525197921682,2
2003,0.70151759389722,2
2004,0.684442937908406,2
2005,0.672185092038393,2
2006,0.687205528436628,2
2007,0.680847244718196,2
2008,0.62129549492533,2
2009,0.667655357379317,2
2010,0.669460534978659,2
2011,0.62863909833066,2
2012,0.575950741279467,2
2013,0.636146155747117,2
2014,0.748753977363608,2
2015,0.641757568816211,2
2016,0.609356619747397,2
1983,0.467877969248507,3
1984,0.531484656290487,3
1985,0.481231200897941,3
1986,0.502183631674072,3
1987,0.476757372487504,3
1988,0.546360098355197,3
1989,0.596384990916138,3
1990,0.528004398022993,3
1991,0.544571720485074,3
1992,0.452611598832092,3
1993,0.57647717167216,3
1994,0.580286244179562,3
1995,0.66963734960159,3
1996,0.647777478071138,3
1997,0.619500385922109,3
1998,0.628609267943319,3
1999,0.644538263542412,3
2000,0.615609862850184,3
2001,0.666960423125033,3
2002,0.673631080425189,3
2003,0.736304059238667,3
2004,0.699353093912872,3
2005,0.672743988649808,3
2006,0.689811716939144,3
2007,0.670346859856334,3
2008,0.655885318863769,3
2009,0.657313412484794,3
2010,0.64829417903741,3
2011,0.662209148088347,3
2012,0.587157768304177,3
2013,0.639999561933986,3
2014,0.667234354326142,3
2015,0.683870780291815,3
2016,0.649374663659662,3
1984,0.510102951819968,4
1985,0.495493982578977,4
1986,0.48148615918431,4
1987,0.516762504249215,4
1988,0.506650564127509,4
1989,0.567851501697959,4
1990,0.536128079010906,4
1991,0.557511325125687,4
1992,0.49754012705563,4
1993,0.521197214577923,4
1994,0.596722709743113,4
1995,0.591339348893018,4
